open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1567894680000,10503.25000000,10510.00000000,10502.41000000,10508.57000000,3.46142700,1567894739999,36368.84277818,106,1.81713800,19093.65788541,0
1567894740000,10508.59000000,10508.59000000,10500.00000000,10505.30000000,7.57275200,1567894799999,79542.84694691,165,1.52000500,15967.48644602,0
1567894800000,10506.98000000,10509.17000000,10500.00000000,10502.07000000,5.26916500,1567894859999,55346.76647335,142,3.91549600,41130.24911950,0
1567894860000,10502.07000000,10507.62000000,10485.01000000,10487.76000000,21.04582000,1567894919999,220891.31744770,212,2.34465100,24614.05890408,0
1567894920000,10490.71000000,10494.90000000,10485.86000000,10487.39000000,3.26747100,1567894979999,34271.63260360,76,1.46913000,15409.89297634,0
1567894980000,10486.22000000,10493.76000000,10485.00000000,10493.47000000,12.77348600,1567895039999,134003.18316340,119,11.39311700,119525.12191933,0
1567895040000,10491.45000000,10494.56000000,10489.41000000,10492.84000000,2.79380100,1567895099999,29312.47313017,70,1.69045100,17737.06880212,0
1567895100000,10490.77000000,10493.79000000,10487.80000000,10489.98000000,3.89379100,1567895159999,40848.30775469,99,1.94430500,20397.84370894,0
1567895160000,10490.81000000,10493.73000000,10484.04000000,10484.89000000,11.30245500,1567895219999,118523.69129112,125,2.36438600,24804.26134859,0
1567895220000,10484.02000000,10485.90000000,10477.29000000,10482.61000000,7.18914600,1567895279999,75348.75246035,222,3.96898200,41601.30091457,0
1567895280000,10485.54000000,10489.82000000,10483.94000000,10489.19000000,2.49891900,1567895339999,26207.47741403,70,1.37332800,14403.21361343,0
1567895340000,10487.68000000,10490.51000000,10486.12000000,10488.22000000,3.02445500,1567895399999,31722.11502252,89,1.83459400,19242.32840059,0
1567895400000,10489.36000000,10489.90000000,10485.54000000,10485.54000000,7.46893600,1567895459999,78329.62697845,128,4.02369100,42200.37871409,0
1567895460000,10486.28000000,10487.98000000,10480.88000000,10484.32000000,10.26668800,1567895519999,107645.41308162,159,6.02676100,63201.56377427,0
