open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1568194680000,10007.99000000,10009.07000000,10004.31000000,10006.15000000,9.06541000,1568194739999,90715.48836107,178,4.70837400,47118.12342475,0
1568194740000,10006.11000000,10012.76000000,10003.96000000,10011.28000000,22.61305400,1568194799999,226312.87710273,169,20.05856600,200746.23486704,0
1568194800000,10012.00000000,10014.00000000,10002.11000000,10002.82000000,12.97232100,1568194859999,129796.89078276,187,3.49035400,34925.16788980,0
1568194860000,10003.31000000,10013.99000000,10002.77000000,10011.27000000,9.27564400,1568194919999,92833.76556584,190,6.64197100,66475.72501497,0
1568194920000,10010.49000000,10018.41000000,10010.00000000,10017.48000000,8.22792200,1568194979999,82390.85270907,154,4.28701100,42931.10516471,0
1568194980000,10018.41000000,10024.97000000,10016.75000000,10020.06000000,10.08137100,1568195039999,101017.58782371,193,7.57471000,75902.19650613,0
1568195040000,10023.21000000,10025.55000000,10017.85000000,10019.77000000,10.34032900,1568195099999,103642.44868111,181,3.39215900,34003.79531862,0
1568195100000,10019.62000000,10023.62000000,10018.49000000,10022.52000000,10.86312600,1568195159999,108863.86578542,126,4.21386900,42232.32058929,0
1568195160000,10022.14000000,10025.00000000,10021.20000000,10021.20000000,5.55109000,1568195219999,55637.50070457,112,3.13670400,31439.22687276,0
1568195220000,10022.52000000,10022.52000000,10021.20000000,10022.52000000,6.03238100,1568195279999,60458.43128986,98,4.45481800,44647.93350126,0
1568195280000,10022.52000000,10025.00000000,10021.20000000,10023.00000000,9.87360300,1568195339999,98971.29395697,121,7.33653300,73543.82961062,0
1568195340000,10021.49000000,10023.32000000,10015.02000000,10018.32000000,45.40682600,1568195399999,454966.18239990,144,3.28272000,32891.40172651,0
1568195400000,10019.44000000,10022.61000000,10017.99000000,10018.09000000,8.81363800,1568195459999,88300.99312706,109,3.26222900,32684.65371963,0
1568195460000,10018.00000000,10018.26000000,10015.06000000,10018.09000000,8.25158600,1568195519999,82654.69698545,114,2.85667500,28615.96198179,0
1568195520000,10017.22000000,10023.67000000,10017.19000000,10019.64000000,13.13161000,1568195579999,131593.98117347,163,5.06202000,50730.31233182,0
1568195580000,10019.61000000,10020.89000000,10012.66000000,10015.59000000,33.72614300,1568195639999,337873.62442060,132,3.46640500,34727.40996422,0
1568195640000,10015.59000000,10019.54000000,10010.17000000,10012.49000000,13.64699300,1568195699999,136671.20033719,162,4.82490800,48323.53709545,0
1568195700000,10012.34000000,10023.67000000,10009.04000000,10022.18000000,10.08301900,1568195759999,100967.91022325,168,7.15100300,71606.82477355,0
1568195760000,10022.21000000,10023.24000000,10019.08000000,10022.52000000,6.95311100,1568195819999,69684.50131028,98,5.54719800,55594.87767587,0
1568195820000,10022.22000000,10022.52000000,10015.25000000,10017.04000000,12.63695200,1568195879999,126632.93464778,182,4.20522800,42139.72777084,0
1568195880000,10019.41000000,10022.38000000,10016.35000000,10017.66000000,6.63411400,1568195939999,66464.31203466,117,3.46112000,34675.31406683,0
1568195940000,10017.69000000,10019.98000000,10009.09000000,10019.32000000,10.85775300,1568195999999,108735.63465750,171,3.57957200,35851.16575224,0
1568196000000,10019.39000000,10022.54000000,10015.67000000,10017.17000000,11.13193000,1568196059999,111538.06727288,144,6.84392200,68574.18748350,0
1568196060000,10017.34000000,10021.38000000,10016.01000000,10017.55000000,9.86164800,1568196119999,98814.38058029,136,6.55050100,65638.86822336,0
1568196120000,10018.91000000,10024.67000000,10017.55000000,10024.62000000,14.91883500,1568196179999,149519.77361326,151,8.94449800,89643.08042757,0
1568196180000,10022.68000000,10029.66000000,10022.67000000,10029.66000000,32.16337000,1568196239999,322456.91267516,175,28.73836900,288122.46465981,0
1568196240000,10029.44000000,10035.00000000,10029.44000000,10033.67000000,11.70428600,1568196299999,117421.09456733,197,8.20267000,82291.36861378,0
1568196300000,10033.67000000,10050.00000000,10032.91000000,10046.87000000,60.77821400,1568196359999,610240.50815067,533,45.38745400,455686.60928097,0
1568196360000,10046.87000000,10052.63000000,10043.00000000,10052.63000000,23.45567300,1568196419999,235694.95017743,252,18.32269000,184121.05819058,0
1568196420000,10052.63000000,10059.40000000,10048.51000000,10050.01000000,80.67249800,1568196479999,811137.80775396,379,45.22757600,454711.11467893,0
1568196480000,10050.01000000,10051.55000000,10043.94000000,10045.00000000,9.60280200,1568196539999,96475.85862088,174,5.06834700,50916.66402977,0
1568196540000,10044.73000000,10051.57000000,10041.23000000,10049.99000000,18.66598300,1568196599999,187518.88506257,187,16.51794800,165940.07107701,0
1568196600000,10050.00000000,10051.03000000,10040.98000000,10044.07000000,18.29041200,1568196659999,183772.04789439,220,10.53696900,105871.66641438,0
1568196660000,10043.63000000,10049.52000000,10041.13000000,10043.62000000,13.70958500,1568196719999,137717.10406909,215,7.74780100,77837.27383370,0
1568196720000,10043.29000000,10043.59000000,10041.19000000,10042.65000000,3.83212100,1568196779999,38483.89057359,93,1.65034200,16573.70595528,0
