open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1566094680000,10191.25000000,10191.25000000,10181.05000000,10182.31000000,5.66908300,1566094739999,57741.09536590,123,2.91940800,29736.99026133,0
1566094740000,10182.71000000,10185.00000000,10182.27000000,10184.27000000,2.57762400,1566094799999,26250.51991065,97,1.45141000,14781.42162705,0
1566094800000,10184.61000000,10187.34000000,10180.26000000,10180.26000000,3.32903100,1566094859999,33900.78108775,123,1.33294400,13575.26357513,0
1566094860000,10181.43000000,10185.26000000,10177.18000000,10184.56000000,6.61429200,1566094919999,67354.75543912,146,3.57738500,36428.61797076,0
1566094920000,10182.62000000,10185.00000000,10181.44000000,10184.83000000,3.18021400,1566094979999,32386.70070558,98,2.35051900,23937.46686492,0
1566094980000,10184.11000000,10185.00000000,10182.13000000,10184.99000000,4.02443700,1566095039999,40984.07436100,87,2.81949300,28714.08363610,0
1566095040000,10184.99000000,10185.71000000,10177.49000000,10182.31000000,6.76544900,1566095099999,68888.50875546,156,2.31938800,23618.44138323,0
1566095100000,10182.12000000,10182.60000000,10176.96000000,10177.54000000,4.08576200,1566095159999,41587.68923067,80,1.92472100,19591.30496176,0
1566095160000,10177.68000000,10182.00000000,10177.00000000,10179.11000000,2.16087800,1566095219999,21998.40547635,88,0.78035700,7944.48932747,0
1566095220000,10181.09000000,10181.09000000,10171.00000000,10171.00000000,4.42497500,1566095279999,45029.67526974,85,0.92537600,9414.83682678,0
1566095280000,10171.15000000,10177.09000000,10170.00000000,10173.61000000,8.77476600,1566095339999,89259.00389398,169,1.80340200,18346.72163662,0
1566095340000,10173.19000000,10177.05000000,10172.01000000,10172.92000000,4.05283600,1566095399999,41233.62276547,106,2.26356600,23030.01520920,0
1566095400000,10173.42000000,10177.07000000,10170.00000000,10173.39000000,7.70386000,1566095459999,78370.36647885,143,4.51891500,45972.46728452,0
1566095460000,10172.07000000,10198.27000000,10171.95000000,10192.00000000,31.46382400,1566095519999,320484.73820362,328,26.83625900,273336.37535608,0
1566095520000,10192.00000000,10195.81000000,10184.15000000,10187.81000000,6.00627100,1566095579999,61192.51727287,139,1.66537100,16970.17515592,0
1566095580000,10186.62000000,10191.37000000,10183.40000000,10186.84000000,4.27984000,1566095639999,43597.03131773,106,1.85839900,18932.13826934,0
1566095640000,10186.13000000,10194.53000000,10185.36000000,10189.08000000,4.70819200,1566095699999,47971.69711886,149,2.00372600,20418.39088392,0
1566095700000,10189.81000000,10198.27000000,10186.28000000,10198.16000000,3.26738300,1566095759999,33305.36293957,143,2.30453300,23491.40378688,0
1566095760000,10195.02000000,10196.78000000,10187.93000000,10194.27000000,7.01410900,1566095819999,71497.40787391,157,3.28835000,33517.35574611,0
1566095820000,10193.63000000,10196.78000000,10189.49000000,10190.03000000,6.85376000,1566095879999,69863.83485126,133,3.92439200,40003.59591792,0
1566095880000,10190.01000000,10193.34000000,10186.59000000,10193.34000000,3.86029600,1566095939999,39334.99601452,90,1.38219000,14084.53924180,0
1566095940000,10193.63000000,10194.58000000,10186.61000000,10189.16000000,2.81024200,1566095999999,28637.51884190,74,0.69782900,7111.06245958,0
1566096000000,10187.36000000,10196.66000000,10187.36000000,10191.73000000,7.82800700,1566096059999,79779.56005568,106,3.60218300,36710.23480378,0
1566096060000,10192.94000000,10192.94000000,10186.53000000,10186.53000000,4.63239800,1566096119999,47195.87240601,90,3.18505900,32448.82323312,0
1566096120000,10187.10000000,10193.64000000,10183.49000000,10183.49000000,6.38663300,1566096179999,65064.05388858,139,2.67588300,27262.86842738,0
1566096180000,10184.09000000,10185.99000000,10175.05000000,10179.57000000,5.79258800,1566096239999,58972.34145882,153,3.86324700,39334.94340178,0
1566096240000,10179.53000000,10183.81000000,10178.37000000,10179.54000000,2.84753500,1566096299999,28992.10320911,83,1.52420200,15519.01227139,0
1566096300000,10181.02000000,10182.11000000,10177.31000000,10180.58000000,4.19952300,1566096359999,42753.54816007,81,1.65629100,16861.33100690,0
1566096360000,10180.07000000,10182.28000000,10179.04000000,10181.14000000,5.08499200,1566096419999,51766.84765372,112,2.78191200,28321.33798709,0
1566096420000,10181.12000000,10189.20000000,10177.01000000,10188.40000000,10.75294200,1566096479999,109495.32679788,181,4.51354000,45963.54515600,0
1566096480000,10185.16000000,10189.31000000,10184.76000000,10187.08000000,3.51483400,1566096539999,35806.46248083,81,1.08327100,11035.96600826,0
1566096540000,10189.27000000,10189.27000000,10182.59000000,10188.79000000,4.72725300,1566096599999,48151.22517199,109,2.65371400,27030.15610924,0
1566096600000,10188.87000000,10190.00000000,10180.40000000,10180.40000000,4.96736700,1566096659999,50598.80476938,105,1.30644900,13307.38039995,0
1566096660000,10180.40000000,10181.70000000,10176.54000000,10178.16000000,9.13728000,1566096719999,93018.18583472,175,5.43515500,55333.77018616,0
1566096720000,10177.07000000,10179.48000000,10167.58000000,10173.31000000,9.85034800,1566096779999,100225.56000841,172,4.46337700,45416.91124631,0
1566096780000,10173.31000000,10175.58000000,10165.01000000,10165.91000000,6.07173000,1566096839999,61745.40786982,144,2.00129300,20354.15759785,0
1566096840000,10165.09000000,10180.67000000,10165.09000000,10180.62000000,7.19972000,1566096899999,73249.83443597,158,3.85004300,39166.36228019,0
1566096900000,10178.85000000,10180.62000000,10166.92000000,10166.92000000,7.92653000,1566096959999,80663.77697075,99,3.31151500,33701.18141576,0
1566096960000,10169.44000000,10169.44000000,10162.83000000,10165.80000000,7.27997200,1566097019999,74013.17877704,110,1.11229100,11307.56203953,0
1566097020000,10165.80000000,10165.80000000,10160.00000000,10160.87000000,5.34603800,1566097079999,54326.60286205,109,1.69072200,17182.00136336,0
1566097080000,10161.39000000,10173.07000000,10151.42000000,10167.29000000,114.84506600,1566097139999,1166107.55641256,459,16.76195700,170323.24837977,0
1566097140000,10167.29000000,10182.67000000,10163.90000000,10168.76000000,6.93771600,1566097199999,70577.11778831,221,2.74730000,27954.09478587,0
1566097200000,10168.43000000,10174.55000000,10165.47000000,10167.87000000,6.73295300,1566097259999,68470.37618073,129,2.43427900,24755.60626300,0
1566097260000,10167.41000000,10170.00000000,10162.83000000,10166.70000000,5.37961200,1566097319999,54684.34924458,97,3.68433300,37450.78635342,0
1566097320000,10169.06000000,10178.66000000,10164.52000000,10164.56000000,10.24561300,1566097379999,104218.77222191,147,6.71922800,68340.36244591,0
1566097380000,10164.43000000,10166.67000000,10159.89000000,10164.30000000,3.18900900,1566097439999,32407.75957824,110,1.56939800,15949.72163939,0
1566097440000,10163.13000000,10163.31000000,10157.79000000,10157.83000000,2.03358100,1566097499999,20661.97376528,70,1.07838400,10956.88772996,0
1566097500000,10157.83000000,10160.63000000,10151.42000000,10151.50000000,9.12652700,1566097559999,92664.29838207,234,2.19904300,22328.45045758,0
1566097560000,10151.61000000,10153.16000000,10136.94000000,10142.72000000,123.47170300,1566097619999,1253210.97787178,605,6.69875300,67955.92279194,0
1566097620000,10142.89000000,10168.62000000,10140.86000000,10154.82000000,37.41882600,1566097679999,380034.57385424,470,22.62752200,229780.97369041,0
1566097680000,10152.78000000,10154.89000000,10138.91000000,10140.50000000,19.14501000,1566097739999,194170.22990395,195,13.96390100,141616.56870602,0
1566097740000,10143.71000000,10145.13000000,10133.33000000,10134.88000000,9.98514300,1566097799999,101260.06133615,165,5.02820300,50995.86808670,0
1566097800000,10133.35000000,10140.80000000,10127.00000000,10128.56000000,18.28754800,1566097859999,185279.87543001,300,8.22013900,83293.36906698,0
1566097860000,10130.60000000,10142.29000000,10126.77000000,10139.94000000,7.05197800,1566097919999,71449.07150367,157,4.76936300,48321.39582438,0
1566097920000,10139.94000000,10142.28000000,10126.91000000,10126.91000000,15.60951800,1566097979999,158135.76453928,177,3.16746200,32099.43681543,0
