open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1568614680000,10299.03000000,10299.92000000,10296.01000000,10296.52000000,5.15372100,1568614739999,53072.21014210,124,3.78661500,38994.99450374,0
1568614740000,10296.52000000,10297.92000000,10296.00000000,10297.92000000,4.72314500,1568614799999,48632.39821593,82,2.97392500,30621.79324624,0
1568614800000,10296.65000000,10298.33000000,10295.00000000,10295.28000000,8.74844600,1568614859999,90076.66686435,185,4.23475400,43604.87388988,0
1568614860000,10295.27000000,10297.87000000,10293.46000000,10293.52000000,18.49093600,1568614919999,190368.91010144,194,3.59805800,37045.68317950,0
1568614920000,10292.63000000,10295.03000000,10287.00000000,10293.50000000,13.03728000,1568614979999,134168.26724900,258,5.51086200,56713.48821136,0
1568614980000,10292.72000000,10298.61000000,10292.72000000,10296.39000000,4.67836900,1568615039999,48172.81772132,116,2.80022700,28833.84739715,0
1568615040000,10297.50000000,10298.62000000,10295.05000000,10297.58000000,6.39017700,1568615099999,65800.85480110,94,2.69773000,27779.13299775,0
1568615100000,10297.52000000,10299.90000000,10295.00000000,10297.96000000,8.25203400,1568615159999,84976.71645719,101,5.38450300,55451.16144256,0
1568615160000,10297.96000000,10298.67000000,10295.00000000,10296.28000000,6.58940900,1568615219999,67848.82320586,71,3.80182800,39147.53553662,0
1568615220000,10296.28000000,10296.28000000,10287.02000000,10290.94000000,27.88299800,1568615279999,286946.43512829,280,8.44535600,86921.58258125,0
1568615280000,10289.45000000,10296.28000000,10285.74000000,10292.51000000,29.72099400,1568615339999,305837.32798969,337,12.41669900,127796.25023771,0
1568615340000,10291.84000000,10299.30000000,10291.77000000,10296.97000000,6.93482200,1568615399999,71394.83239165,118,4.08863000,42090.78674289,0
1568615400000,10296.97000000,10300.00000000,10291.85000000,10294.92000000,38.75816300,1568615459999,399102.26117328,183,26.65034600,274403.63916249,0
1568615460000,10294.97000000,10299.99000000,10294.97000000,10296.91000000,15.42526700,1568615519999,158852.85531818,134,10.69797800,110173.90891615,0
1568615520000,10297.29000000,10299.94000000,10296.80000000,10298.09000000,15.25451400,1568615579999,157103.23341599,91,7.85831200,80935.60173983,0
