open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1567834680000,10346.17000000,10347.99000000,10344.35000000,10347.98000000,3.48755000,1567834739999,36084.13571838,81,1.72232300,17820.23723495,0
1567834740000,10347.60000000,10347.98000000,10344.42000000,10345.82000000,2.39522300,1567834799999,24781.42511565,68,1.23302800,12757.23438045,0
1567834800000,10345.98000000,10353.69000000,10345.83000000,10351.67000000,49.76342300,1567834859999,515053.12676377,141,48.53780600,502366.26915132,0
1567834860000,10352.57000000,10353.85000000,10350.50000000,10352.68000000,15.15751200,1567834919999,156932.31100687,134,3.83140200,39667.28510172,0
1567834920000,10352.66000000,10355.05000000,10350.02000000,10353.63000000,7.91881500,1567834979999,81982.46718085,168,4.81611500,49863.70053772,0
1567834980000,10352.05000000,10355.00000000,10350.99000000,10353.70000000,3.66944400,1567835039999,37989.57745265,85,2.30346700,23847.94576234,0
1567835040000,10354.83000000,10355.00000000,10351.69000000,10352.02000000,6.27812000,1567835099999,64996.95394771,155,3.27128600,33869.01481968,0
1567835100000,10352.23000000,10355.05000000,10351.68000000,10351.69000000,9.61862000,1567835159999,99588.85539122,181,7.13874200,73914.86984757,0
1567835160000,10351.69000000,10355.34000000,10351.00000000,10352.02000000,15.41482800,1567835219999,159605.94813792,200,12.83730300,132924.14261228,0
1567835220000,10351.06000000,10355.29000000,10351.02000000,10353.10000000,8.18720900,1567835279999,84760.50518373,120,4.97485500,51505.15142924,0
1567835280000,10355.19000000,10355.32000000,10349.10000000,10350.63000000,13.73164300,1567835339999,142145.31467737,149,4.56633200,47273.47745156,0
1567835340000,10351.03000000,10351.47000000,10345.00000000,10347.47000000,8.18124000,1567835399999,84666.02348756,158,4.42366300,45779.72209510,0
1567835400000,10346.79000000,10351.00000000,10346.41000000,10350.35000000,6.45999800,1567835459999,66850.46433468,137,3.04655600,31528.06346544,0
1567835460000,10349.04000000,10350.99000000,10345.80000000,10349.14000000,4.52277000,1567835519999,46804.22159921,130,2.47643000,25627.98212905,0
1567835520000,10350.00000000,10352.56000000,10347.01000000,10347.06000000,6.75292700,1567835579999,69890.66535486,137,3.77751400,39098.00562142,0
1567835580000,10349.74000000,10350.50000000,10346.00000000,10346.09000000,5.87218500,1567835639999,60765.33941404,133,1.91665400,19833.94723175,0
1567835640000,10347.78000000,10349.37000000,10345.70000000,10345.84000000,6.99099000,1567835699999,72334.15503115,127,3.13129700,32399.45786651,0
1567835700000,10349.30000000,10353.37000000,10345.06000000,10353.02000000,7.28883700,1567835759999,75430.65439949,115,4.98785400,51618.66672336,0
1567835760000,10352.65000000,10357.19000000,10350.66000000,10354.07000000,21.25330500,1567835819999,220097.55010800,184,12.06066000,124897.58016399,0
1567835820000,10354.07000000,10357.19000000,10351.35000000,10357.17000000,4.20129300,1567835879999,43504.88304626,91,1.89696800,19642.61412927,0
1567835880000,10357.17000000,10358.00000000,10354.26000000,10356.10000000,4.57236800,1567835939999,47356.11502324,130,2.82859300,29296.75099939,0
1567835940000,10356.37000000,10360.86000000,10355.08000000,10360.86000000,7.44140700,1567835999999,77078.77245769,152,5.99015800,62046.89033904,0
1567836000000,10360.85000000,10363.51000000,10358.99000000,10359.76000000,11.24098100,1567836059999,116482.60169993,190,9.09013800,94198.57141309,0
1567836060000,10359.77000000,10362.24000000,10355.56000000,10361.67000000,19.10982500,1567836119999,197953.06021392,171,2.07318000,21476.06345567,0
1567836120000,10363.47000000,10363.47000000,10358.42000000,10360.81000000,4.62776800,1567836179999,47944.86811683,93,1.78005600,18442.72914806,0
1567836180000,10360.10000000,10362.98000000,10357.32000000,10360.79000000,6.13020200,1567836239999,63507.26003374,107,1.92801300,19975.41214343,0
1567836240000,10358.66000000,10361.61000000,10355.92000000,10359.32000000,5.69453500,1567836299999,58988.80006321,101,1.78663800,18508.30982044,0
1567836300000,10358.28000000,10361.02000000,10355.33000000,10360.33000000,6.43399800,1567836359999,66639.60336406,78,5.18012300,53650.64432607,0
1567836360000,10360.74000000,10363.44000000,10359.00000000,10360.74000000,4.63267500,1567836419999,48001.72289102,87,2.15504000,22329.26105024,0
1567836420000,10360.76000000,10363.60000000,10355.00000000,10358.29000000,11.50498600,1567836479999,119174.27444291,162,2.27397300,23556.61387897,0
1567836480000,10357.69000000,10360.99000000,10357.69000000,10360.04000000,3.63812500,1567836539999,37689.92076273,102,1.56981800,16263.29404800,0
1567836540000,10359.41000000,10359.94000000,10351.32000000,10352.31000000,8.93056300,1567836599999,92471.21419115,166,2.61402300,27066.83811677,0
