open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1567054680000,9616.46000000,9619.85000000,9615.02000000,9618.15000000,3.73763100,1567054739999,35946.28378842,121,1.61049000,15489.67984445,0
1567054740000,9617.10000000,9619.06000000,9612.00000000,9616.71000000,8.88661400,1567054799999,85452.64899585,128,2.00389100,19268.19942080,0
1567054800000,9614.50000000,9624.39000000,9612.03000000,9616.31000000,6.86464500,1567054859999,66020.00923275,182,4.29841200,41341.12864168,0
1567054860000,9616.07000000,9616.67000000,9612.00000000,9612.33000000,3.89213400,1567054919999,37416.52372015,100,1.80596400,17361.27996473,0
1567054920000,9612.98000000,9614.93000000,9609.00000000,9612.00000000,4.01684200,1567054979999,38607.84015535,100,2.30307900,22136.90028448,0
1567054980000,9611.40000000,9617.24000000,9610.00000000,9617.24000000,12.63387700,1567055039999,121439.14134343,112,10.79400300,103754.26122010,0
1567055040000,9617.52000000,9619.57000000,9615.00000000,9616.96000000,3.02492500,1567055099999,29089.31364774,95,1.43719200,13820.89534323,0
1567055100000,9617.84000000,9627.23000000,9616.68000000,9623.04000000,19.00866800,1567055159999,182937.85693710,243,16.84636300,162133.71406768,0
1567055160000,9623.04000000,9646.38000000,9623.04000000,9634.51000000,50.56035400,1567055219999,487229.96403601,558,46.14624200,444716.25689192,0
1567055220000,9631.10000000,9639.28000000,9629.39000000,9630.01000000,9.87270700,1567055279999,95102.03685758,207,4.57470500,44076.58257624,0
1567055280000,9630.01000000,9636.82000000,9624.00000000,9629.84000000,13.25612600,1567055339999,127646.69853198,189,5.59679800,53898.38820478,0
1567055340000,9633.66000000,9640.23000000,9629.46000000,9631.41000000,9.22891800,1567055399999,88913.34725392,187,4.49006500,43265.98135134,0
1567055400000,9629.68000000,9634.93000000,9626.96000000,9628.99000000,6.92944800,1567055459999,66729.38074966,155,3.65965900,35243.42495074,0
1567055460000,9630.00000000,9630.00000000,9625.41000000,9630.00000000,5.23409500,1567055519999,50396.85686160,123,3.31225100,31894.87439408,0
1567055520000,9630.00000000,9630.00000000,9626.59000000,9629.45000000,7.50263800,1567055579999,72245.96281959,139,5.61014500,54024.24832333,0
1567055580000,9629.99000000,9633.02000000,9621.83000000,9626.35000000,13.38516600,1567055639999,128868.65127973,158,6.45161800,62121.02145750,0
1567055640000,9626.06000000,9633.13000000,9626.03000000,9633.13000000,6.05390700,1567055699999,58298.80982484,96,5.15062000,49600.34011103,0
1567055700000,9630.76000000,9633.49000000,9625.34000000,9631.07000000,7.22260800,1567055759999,69555.45846939,174,3.93762200,37921.54805186,0
1567055760000,9631.20000000,9633.30000000,9628.22000000,9632.28000000,4.35474300,1567055819999,41942.66820894,117,1.76838100,17032.39200988,0
1567055820000,9630.92000000,9632.30000000,9627.02000000,9628.85000000,4.10361700,1567055879999,39516.19233366,137,2.31354600,22278.71938721,0
1567055880000,9628.18000000,9629.98000000,9617.35000000,9618.52000000,10.65055000,1567055939999,102510.61770954,244,3.21951900,30994.78984218,0
1567055940000,9619.66000000,9624.38000000,9616.35000000,9617.97000000,7.49104600,1567055999999,72053.87263735,204,2.22772000,21428.67677725,0
1567056000000,9618.01000000,9619.41000000,9610.98000000,9615.64000000,11.03549200,1567056059999,106097.06096489,178,4.38981200,42213.13281135,0
1567056060000,9615.64000000,9620.26000000,9611.73000000,9617.54000000,4.99997700,1567056119999,48072.81204764,122,3.49184100,33573.78302336,0
1567056120000,9617.58000000,9622.53000000,9613.80000000,9617.40000000,5.20971900,1567056179999,50111.81945297,119,2.16307200,20807.85044644,0
1567056180000,9615.10000000,9621.33000000,9611.24000000,9612.07000000,8.01621100,1567056239999,77082.95092798,159,3.64802500,35082.64828002,0
1567056240000,9614.49000000,9615.48000000,9608.06000000,9609.42000000,10.74059600,1567056299999,103230.69624993,167,3.97261000,38188.44486429,0
1567056300000,9608.08000000,9617.00000000,9608.00000000,9612.14000000,10.29482800,1567056359999,98969.82071302,132,8.35856100,80361.02254824,0
1567056360000,9611.49000000,9614.93000000,9608.00000000,9608.00000000,13.96127000,1567056419999,134159.89914828,157,4.61434800,44349.05407046,0
1567056420000,9608.36000000,9614.00000000,9608.00000000,9609.72000000,7.71487900,1567056479999,74140.96866739,135,3.68053100,35372.63152060,0
1567056480000,9609.68000000,9611.22000000,9600.00000000,9608.77000000,30.32489300,1567056539999,291319.17648471,295,7.85217600,75423.49914108,0
1567056540000,9607.93000000,9609.89000000,9600.00000000,9600.32000000,8.03574000,1567056599999,77169.28766533,156,3.18647100,30597.42237032,0
1567056600000,9600.24000000,9604.81000000,9595.31000000,9598.71000000,51.25805600,1567056659999,492116.91063191,337,9.00682800,86488.31880642,0
1567056660000,9597.82000000,9604.78000000,9597.44000000,9599.89000000,10.68188900,1567056719999,102545.83884424,163,8.25923700,79290.62208067,0
1567056720000,9599.89000000,9600.00000000,9597.23000000,9597.23000000,12.14299600,1567056779999,116552.42471300,160,2.94118600,28232.59210977,0
1567056780000,9597.29000000,9605.00000000,9593.61000000,9602.70000000,22.74382700,1567056839999,218304.17812310,230,14.66662800,140778.17083461,0
1567056840000,9602.76000000,9605.99000000,9601.38000000,9605.86000000,7.11377600,1567056899999,68317.18309073,100,3.62938500,34856.19505084,0
1567056900000,9605.96000000,9605.99000000,9601.45000000,9602.75000000,7.44119700,1567056959999,71458.42065161,118,0.78992900,7586.99340184,0
1567056960000,9601.47000000,9605.30000000,9601.45000000,9602.21000000,4.91927400,1567057019999,47245.17091522,113,3.49820500,33597.98472389,0
1567057020000,9603.43000000,9605.99000000,9601.68000000,9605.80000000,4.75758700,1567057079999,45693.54847525,113,3.27893000,31493.48550685,0
1567057080000,9605.37000000,9617.00000000,9605.37000000,9615.06000000,10.18237900,1567057139999,97835.48531660,145,8.28894200,79646.43216974,0
1567057140000,9615.54000000,9618.76000000,9610.04000000,9614.90000000,6.68354500,1567057199999,64259.20548117,143,4.66249100,44827.05474645,0
1567057200000,9612.41000000,9620.00000000,9612.41000000,9620.00000000,4.25567800,1567057259999,40922.55551441,100,2.93880800,28259.82102047,0
1567057260000,9620.00000000,9622.42000000,9616.13000000,9621.39000000,3.78145100,1567057319999,36377.55687614,126,1.41333900,13596.59306261,0
1567057320000,9620.05000000,9624.06000000,9618.01000000,9620.07000000,31.48682200,1567057379999,302912.07051991,250,4.95389000,47663.41937774,0
1567057380000,9620.07000000,9623.99000000,9613.00000000,9613.60000000,68.25084900,1567057439999,656567.36490886,229,2.55977500,24623.92100136,0
